cartodb_id,the_geom,cartodb_georef_status,geonameid,subcountry,country,name
791,0101000020E6100000A5BDC11726931040C5724BAB21954940,true,2786578,Flanders,Belgium,Sint-Niklaas
940,0101000020E61000009BFEEC478A8800C00DA661F888882B40,true,2354349,Nord,Burkina Faso,Titao
724,0101000020E61000007C0A80F10C4E5640C74B378941E83640,true,1197895,Khulna,Bangladesh,Kesabpur
916,0101000020E61000007FA4880CAB7811404148163081574940,true,2801154,Wallonia,Belgium,Braine-l'Alleud
694,0101000020E6100000CDE49B6D6EDA56401A170E8464613840,true,1185209,Sylhet,Bangladesh,Habiganj
362,0101000020E61000003333333333332340BD00FBE8D49D4740,true,2779674,Vorarlberg,Austria,Feldkirch
3165,0101000020E61000008121AB5B3D855D40A6F27684D37A3840,true,1790645,Fujian,China,Xiamen
402,0101000020E6100000611A868F882062401630815B77D742C0,true,2146827,Victoria,Australia,Thomastown
590,0101000020E6100000B9533A58FF6F4840A6D0798D5D3A4340,true,148445,Astara,Azerbaijan,Astara
574,0101000020E61000003ECBF3E0EE7E51C08CF337A110112940,true,3577277,N/A,Aruba,Babijn
847,0101000020E610000020240B98C0CD1240BFF1B56796704940,true,2792482,Flanders,Belgium,Leuven
938,0101000020E6100000BC749318041602C0EC2FBB270FEB2940,true,2353688,Nord,Burkina Faso,Yako
556,0101000020E6100000944DB9C2BB236240B79C4B7155F542C0,true,8347717,Victoria,Australia,Clayton
499,0101000020E6100000944DB9C2BB236240B79C4B7155F542C0,true,2171400,Victoria,Australia,Clayton
760,0101000020E61000000EBE30992A18094018213CDA38924940,true,2783308,Flanders,Belgium,Zedelgem
264,0101000020E610000056BC9179E45F50C0FB05BB61DB2A3BC0,true,3843803,Tucumán,Argentina,Monteros
484,0101000020E6100000EC2FBB270F1862403C66A032FE1142C0,true,2167817,Victoria,Australia,Echuca
319,0101000020E6100000CF2C0950535350C00D37E0F3C3083BC0,true,3864375,Tucumán,Argentina,Bella Vista
688,0101000020E6100000876D8B321B505640ACE28DCC23BF3940,true,1185188,Rangpur Division,Bangladesh,Rangpur
900,0101000020E6100000CDCCCCCCCCAC15400074982F2F744940,true,2799412,Flanders,Belgium,Diepenbeek
797,0101000020E6100000C269C18BBE021240DCF4673F52A04940,true,2786963,Flanders,Belgium,Schoten
598,0101000020E6100000F20703CFBDD3474026FC523F6F424440,true,584791,Ucar,Azerbaijan,Ujar
978,0101000020E6100000D235936FB6593940DE76A1B94ECF4540,true,726534,Veliko Tŭrnovo,Bulgaria,Svishtov
72,0101000020E61000007632384A5E7D33401D03B2D7BB3B4440,true,3183719,Vlorë,Albania,Vlorë
569,0101000020E61000002F8672A25D246240F7E978CC401543C0,true,9972527,Victoria,Australia,Frankston South
375,0101000020E61000000569C6A2E96F6140FD135CACA8B934C0,true,2065594,Queensland,Australia,Mount Isa
621,0101000020E6100000751F80D4262E4740732EC55565574440,true,586523,Gǝncǝ,Azerbaijan,Ganja
290,0101000020E610000038328FFCC11A50C0D7A3703D0A1740C0,true,3856235,Cordoba,Argentina,Embalse
931,0101000020E610000005FA449E249D1140D55B035B259C4940,true,2803138,Flanders,Belgium,Antwerpen
48,0101000020E61000006DC5FEB27B2450400A9DD7D825D23F40,true,1141540,Helmand,Afghanistan,Gereshk
635,0101000020E61000003FE3C281909C2F40DD5ED218AD974640,true,3188225,Federation of Bosnia and Herzegovina,Bosnia and Herzegovina,Velika Kladuša
629,0101000020E610000048F949B54F3348400CC85EEFFE484440,true,587361,Ağsu,Azerbaijan,Aghsu
344,0101000020E61000000000000000002B406666666666664740,true,2764786,Carinthia,Austria,Spittal an der Drau
626,0101000020E610000002D9EBDD1FE74840D42B6519E2384440,true,587078,Baki,Azerbaijan,Bilajari
260,0101000020E61000006FD39FFD48294EC0183E22A6447242C0,true,3842670,Buenos Aires,Argentina,Olavarría
